Nivå 0;Nivå 0 navn;Nivå 1;Nivå 1 navn;Nivå 2;Nivå 2 navn;Nivå 3;Nivå 3 navn;Nivå 4;Nivå 4 navn;Nivå 5;Nivå 5 navn;Type;Nivå 6;Nivå 6 navn;Ytelsesksted?;Hjelpekolonne;BESKRIVELSE;ATTRIBUTE14;ATTRIBUTE15;CREATION_DATE;SUMMARY_FLAG;START_DATE_ACTIVE;END_DATE_ACTIVE;;Sisrte bruksdato;;;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019500;AVSL AVDELING FOR ØKONOMI;;;;;019500;AVSL AVDELING FOR ØKONOMI;;;03.12.2013;N;;21.04.2016;;07.07.2017;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019550;AVSL DOKUMENTSENTER ØSTFOLD;;;;;019550;AVSL DOKUMENTSENTER ØSTFOLD;;;03.12.2013;N;;02.03.2016;;13.01.2016;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019600;AVSL Avdeling for rådgivende leger;;;;;019600;AVSL Avdeling for rådgivende leger;;;03.12.2013;N;;15.02.2020;;09.08.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019610;AVSL NAV Arbeidsrådgivningskontor;;;;;019610;AVSL NAV Arbeidsrådgivningskontor;;;03.12.2013;N;;15.02.2020;;04.10.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019700;AVSL Administrasjonsavdelingen;;;;;019700;AVSL Administrasjonsavdelingen;;;03.12.2013;N;;15.02.2020;;08.08.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019710;AVSL Dokumentsenteret;;;;;019710;AVSL Dokumentsenteret;;;19.12.2017;N;;15.02.2020;;09.08.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019730;AVSL HR-Avdelingen;;;;;019730;AVSL HR-Avdelingen;;;19.12.2017;N;;15.02.2020;;02.10.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019750;AVSL Oppfølging og utvikling;;;;;019750;AVSL Oppfølging og utvikling;;;06.03.2015;N;;15.02.2020;;01.10.2019;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019800;AVSL Tiltaksenheten i Østfold;;;;5827784,82;019800;AVSL Tiltaksenheten i Østfold;;;03.12.2013;N;;15.02.2020;;14.08.2018;;#I/T;;;;;
;NAV;B;Arbeid og tjenester (ATA/ATL);BD;Arbeids- og tjenestelinjen;BEA;Øst-Viken;BEA98;Avsluttede ksteder Øst-Viken;019900;AVSL Arbeidslivssenteret i Østfold;;;;;019900;AVSL Arbeidslivssenteret i Østfold;;;03.12.2013;N;;15.02.2020;;31.01.2022;;#I/T;;;;;
